Gene	1.D3_Contro	3.D6_Contro	5.D10_Contr	2.D3_Treate	4.D6_Treate	6.D10_Treat
0610005C13Rik	27.9612	37.2289	22.7299	13.4521	24.9864	19.5313
0610007P14Rik	5015.2832	3693.9148	2733.3758	4223.9383	2862.0757	3171.7847
0610009B22Rik	910.2768	1168.5714	2117.8803	1024.5822	1323.2781	2011.917
0610009L18Rik	67.3427	114.7465	241.8434	64.1331	144.6956	140.602
0610009O20Rik	2345.9279	2161.998	1984.0481	2227.9049	2347.7096	2068.3602
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	2939.3802	2744.7707	2883.554	2392.7348	2742.3086	2828.808
0610010K14Rik	2037.0183	2016.0524	2156.9731	1956.9877	1889.6427	1927.7231
0610011F06Rik	502.3648	526.416	1317.6191	455.5751	563.2855	853.4325
0610012G03Rik	1858.6122	2223.3963	2843.4752	1812.8462	2099.9558	3036.3887
0610030E20Rik	4195.532	5272.1306	5460.0306	4308.9735	5429.4107	4713.2652
0610031O16Rik	0.0	0.0005	1.0603	0.9251	0.0032	0.0062
0610037L13Rik	2261.2016	2352.2308	2779.7286	2072.8959	2664.2089	2742.235
0610038B21Rik	41.3345	59.3814	47.6091	64.4106	63.4752	37.9545
0610039H22Rik	5.5528	1.0095	2.169	0.8578	2.0868	1.1168
0610039K10Rik	10.8704	9.0578	4.4048	7.2139	7.3017	10.769
0610040B10Rik	33.1179	38.2593	125.1285	43.3424	67.6814	112.284
0610040F04Rik	3.6106	2.0161	1.1357	0.8351	9.2656	2.1969
0610040J01Rik	19.1765	10.0647	4.4187	12.759	5.2474	4.4215
0610043K17Rik	6.2248	14.0832	9.727	6.2685	9.3718	9.732
1010001N08Rik	0.0	0.001	0.0119	3.7837	0.0062	0.012
1110001J03Rik	638.4347	638.1344	819.4875	680.4037	648.6329	750.7198
1110002L01Rik	107.9293	145.947	189.131	149.4726	147.8497	184.9124
1110004E09Rik	1012.1645	1133.3366	1241.1701	924.9745	1000.5329	1205.048
1110004F10Rik	4180.2091	4071.3649	6213.5819	4858.9632	4505.9823	6529.4125
1110006O24Rik	62.8558	124.805	162.0137	85.9732	121.797	111.4284
1110007C09Rik	774.3352	852.5256	1306.0026	769.0891	1280.5347	1340.2015
1110008F13Rik	2259.4148	2290.833	2379.7348	2076.5329	2424.7644	2945.5559
1110008L16Rik	618.6632	626.0532	604.406	633.313	663.1804	551.746
1110008P14Rik	1452.5279	1348.7365	1866.0819	1182.2459	1502.3433	1992.5014
1110012L19Rik	693.3259	856.5453	1090.8192	799.9871	856.8395	744.3037
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	29.6441	40.2583	52.8345	29.8308	50.9505	13.1504
1110019D14Rik	170.9297	245.5941	491.6379	145.6755	216.5968	403.3243
1110020A21Rik	23.3403	24.1606	19.5551	26.2373	36.402	43.1217
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	19.6987	19.1316	13.1171	69.4036	26.0445	23.8528
1110028F18Rik	0.0	0.0005	0.0062	0.0	0.0032	2.0924
1110032A03Rik	368.1568	509.3011	853.9534	420.2742	580.9439	696.575
1110032F04Rik	0	0	0	0	0	0
1110034G24Rik	308.7451	402.6096	637.7328	302.4737	403.9726	582.946
1110036E04Rik	0.0	0.0005	0.0062	0.0	0.0032	2.0924
1110037F02Rik	16738.2954	17121.8487	15270.9342	17199.9035	17497.0185	16126.95
1110038B12Rik	4128.008	4747.7372	3984.2883	4859.0042	6237.2675	3784.0845
1110038F14Rik	1739.7963	1925.4655	2385.0294	1681.52	1693.9212	1851.9918
1110046J04Rik	153.0929	146.9525	205.2924	108.604	113.5282	171.9516
1110051M20Rik	2914.0679	3312.4464	4017.6784	3055.0504	3327.4193	3698.5198
1110058D11Rik	10.9773	2.0197	7.5301	6.3516	3.156	4.3669
1110059E24Rik	2426.8551	2608.8947	3964.641	2416.2659	2722.5438	3800.1315
1110059G10Rik	1130.9804	1367.8569	1767.6645	1063.5583	1362.8313	1684.2295
1110065P20Rik	478.9691	621.0217	879.9457	458.3228	637.1659	717.1628
1190002F15Rik	1038.363	700.5434	979.559	1028.3688	455.0605	1433.124
1190002N15Rik	2082.9671	1848.9727	2005.6267	2228.8668	1668.9435	1909.3291
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	50.3382	77.4962	72.3999	42.4532	52.0894	87.4954
1190007I07Rik	169.2294	152.9975	306.8464	124.8768	181.1732	249.7908
1200014J11Rik	6874.7246	7207.6606	5339.0506	6778.8559	7010.8759	5991.9272
1300002E11Rik	533.9891	514.3329	812.8861	488.2817	442.5176	567.9272
1300017J02Rik	1.7658	2.0148	4.273	0.849	2.092	4.2748
1500004A13Rik	176.7069	100.6572	85.5238	139.5798	122.8546	108.2243
1500009C09Rik	0.0	2.0092	0.012	0.0	2.0571	0.0121
1500009L16Rik	16.0815	8.0652	3.4175	73.1892	44.6559	7.737
1500011B03Rik	302.4925	415.6877	497.2187	297.9924	347.7471	345.1127
1500011K16Rik	729.3264	756.9066	1325.3915	722.8984	1105.6346	990.8803
1500012F01Rik	4143.1798	7394.8756	8488.4592	5157.8422	12000.8311	6765.3856
1500012K07Rik	0	0	0	0	0	0
1500015A07Rik	147.5562	249.6102	235.6559	143.9259	250.8714	214.1828
1500015L24Rik	0	0	0	0	0	0
1500015O10Rik	921.9433	2518.2894	3544.8141	1037.2206	1487.7881	906.6911
1500017E21Rik	2.5973	1.0143	8.6015	5.4012	10.3627	10.7122
1500026H17Rik	3.4215	5.0434	28.9551	5.2807	9.4139	38.5191
1600002D24Rik	0.0	0.0005	0.0062	0.0	2.0473	0.0062
1600002H07Rik	1206.7267	860.5798	1300.6495	1133.4092	862.0982	1670.074
1600002K03Rik	292.5349	332.157	430.3134	344.2049	473.6855	632.6265
1600010M07Rik	0.0	0.0005	0.0062	0.0	0.0032	2.0924
1600012H06Rik	5236.6113	5349.6347	5747.646	4941.3955	4909.9306	5864.2079
1600014C10Rik	1075.1142	1423.2155	1797.9543	1147.8271	1525.2329	1821.598
1600014C23Rik	0.0	2.0076	0.0062	0.0	0.0032	0.0062
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	439.319	642.1575	749.2069	423.8727	788.08	755.0008
1600023N17Rik	13.3687	29.1837	34.4655	14.3758	21.8754	27.0062
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	12.4753	17.1153	59.9851	10.7279	12.547	15.2229
1600029I14Rik	0.9312	0.0003	0.0031	0.0	0.0016	0.0031
1600029O15Rik	0.0	2.0084	1.0674	0.0	0.0047	0.0092
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	0	0
1700001D01Rik	6.372	4.0272	0.0578	6.4078	6.2217	2.2196
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	14.4594	5.0415	15.0845	6.2283	12.4914	18.2739
1700001G17Rik	37.8109	38.2481	64.6444	23.4207	25.0403	40.0167
1700001J03Rik	2.6765	0.0039	2.195	6.465	5.1761	2.1964
1700001J11Rik	1.8058	1.0083	1.1002	0.8765	3.0968	1.1008
1700001K19Rik	38.035	17.1172	17.3761	36.4165	10.4818	22.7361
1700001K23Rik	21.7579	16.1028	9.8075	20.9586	13.5459	4.4626
1700001L05Rik	101.7205	91.5982	139.3814	117.8056	96.8483	111.4231
1700001L19Rik	0.0	0.0005	0.0061	1.8855	0.0032	0.0062
1700001O22Rik	19.0219	6.0483	19.3669	14.5068	8.3725	14.0618
1700001P01Rik	19.0223	12.0807	10.8618	11.7357	15.6027	11.9329
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0
1700003E16Rik	76.4316	147.945	131.8072	85.9995	88.5224	84.4455
1700003E24Rik	0	0	0	0	0	0
